st_cnty_tract,cbsa_cd,cbsa_name,tot_safmr_vau,safmr_vau_share_occ_units
39133600603,10420,"Akron, OH ",150.97856,43.761902
39153520600,10420,"Akron, OH ",296.20001,61.452286
39153532302,10420,"Akron, OH ",66,26.506023
39153503500,10420,"Akron, OH ",298.79999,56.698292
36001014202,10580,"Albany-Schenectady-Troy, NY ",366.49121,44.968246
36093033003,10580,"Albany-Schenectady-Troy, NY ",190.1906,47.666817
36001014606,10580,"Albany-Schenectady-Troy, NY ",43.798641,25.027796
36091061100,10580,"Albany-Schenectady-Troy, NY ",515.84003,58.485264
36093021001,10580,"Albany-Schenectady-Troy, NY ",389,64.08567
36091061901,10580,"Albany-Schenectady-Troy, NY ",1002.8885,65.038162
36001013902,10580,"Albany-Schenectady-Troy, NY ",179.8,37.773109
36001013505,10580,"Albany-Schenectady-Troy, NY ",47.959999,31.552631
36001013706,10580,"Albany-Schenectady-Troy, NY ",10,17.241379
36001013200,10580,"Albany-Schenectady-Troy, NY ",783,62.841091
36093032404,10580,"Albany-Schenectady-Troy, NY ",457.44,60.348286
36093021600,10580,"Albany-Schenectady-Troy, NY ",249.03999,57.648148
36093021002,10580,"Albany-Schenectady-Troy, NY ",805,85.912483
36083052501,10580,"Albany-Schenectady-Troy, NY ",168.59428,63.620483
36083052204,10580,"Albany-Schenectady-Troy, NY ",49.862999,39.8904
36083052601,10580,"Albany-Schenectady-Troy, NY ",107.88403,47.317558
36093032602,10580,"Albany-Schenectady-Troy, NY ",308.3873,37.654125
36001001500,10580,"Albany-Schenectady-Troy, NY ",1382.7273,80.204597
36091062405,10580,"Albany-Schenectady-Troy, NY ",940.76001,58.432301
36093020700,10580,"Albany-Schenectady-Troy, NY ",163.004,25.429642
36091061903,10580,"Albany-Schenectady-Troy, NY ",281.87311,22.879311
36091061403,10580,"Albany-Schenectady-Troy, NY ",252.48,38.254543
36095740100,10580,"Albany-Schenectady-Troy, NY ",258.64981,51.937714
36001000600,10580,"Albany-Schenectady-Troy, NY ",686.62036,61.360176
36083040700,10580,"Albany-Schenectady-Troy, NY ",1120.2811,47.469204
36093032901,10580,"Albany-Schenectady-Troy, NY ",59.639999,33.133331
36001014614,10580,"Albany-Schenectady-Troy, NY ",258.86389,24.352201
36083051800,10580,"Albany-Schenectady-Troy, NY ",117.59309,54.694458
36093032902,10580,"Albany-Schenectady-Troy, NY ",150.12,53.80645
36091061302,10580,"Albany-Schenectady-Troy, NY ",393.10645,50.659351
36095740800,10580,"Albany-Schenectady-Troy, NY ",66.223228,48.338123
36093033500,10580,"Albany-Schenectady-Troy, NY ",626.5,51.226494
36091060502,10580,"Albany-Schenectady-Troy, NY ",47,37.301586
36001002100,10580,"Albany-Schenectady-Troy, NY ",457.65472,47.722076
36001014803,10580,"Albany-Schenectady-Troy, NY ",137.03612,90.155342
36091060400,10580,"Albany-Schenectady-Troy, NY ",171.12,64.08989
36083040300,10580,"Albany-Schenectady-Troy, NY ",357.62759,42.657703
36083052602,10580,"Albany-Schenectady-Troy, NY ",123,79.870132
36093033002,10580,"Albany-Schenectady-Troy, NY ",17.24,45.36842
