st_cnty_tract,cbsa_cd,cbsa_name,pov_pct,pov_cat,tot_safmr_vau
39153520302,10420,"Akron, OH ",2.4048626,Below 10%,108.24784
39153507101,10420,"Akron, OH ",10.092576,10-19.9%,536.5
39153533400,10420,"Akron, OH ",8.310297,Below 10%,204.38344
39153507500,10420,"Akron, OH ",24.945623,20-29.9%,489.6022
39133601300,10420,"Akron, OH ",9.3654432,Below 10%,655
39153520301,10420,"Akron, OH ",8.0729971,Below 10%,343.39999
39153533102,10420,"Akron, OH ",2.2170362,Below 10%,0
39133600500,10420,"Akron, OH ",7.1221533,Below 10%,98.02298
39153531802,10420,"Akron, OH ",3.5348611,Below 10%,301.71472
39153532202,10420,"Akron, OH ",7.9168453,Below 10%,471.13016
39153504500,10420,"Akron, OH ",20.391949,20-29.9%,124.23761
39153531601,10420,"Akron, OH ",4.5693779,Below 10%,128.60001
39133600705,10420,"Akron, OH ",5.7079644,Below 10%,45.285069
39153503702,10420,"Akron, OH ",13.268999,10-19.9%,340.60001
39153531001,10420,"Akron, OH ",5.0386181,Below 10%,117.603
39133600302,10420,"Akron, OH ",2.2231429,Below 10%,118.04
39133601100,10420,"Akron, OH ",11.359274,10-19.9%,60
39153520500,10420,"Akron, OH ",3.2891831,Below 10%,218.8
39153502101,10420,"Akron, OH ",24.336145,20-29.9%,412.20001
39153510301,10420,"Akron, OH ",29.129297,20-29.9%,1206.6
39153533000,10420,"Akron, OH ",8.5394583,Below 10%,10.675299
39153502300,10420,"Akron, OH ",23.554213,20-29.9%,321.31601
39153508800,10420,"Akron, OH ",29.739574,20-29.9%,457.60001
39153530902,10420,"Akron, OH ",6.0115447,Below 10%,216.99672
39133601200,10420,"Akron, OH ",25.274725,20-29.9%,996
39153530700,10420,"Akron, OH ",2.0630596,Below 10%,13
39133602000,10420,"Akron, OH ",6.0600338,Below 10%,53
39153505500,10420,"Akron, OH ",18.777016,10-19.9%,130.31746
39153505900,10420,"Akron, OH ",9.039813,Below 10%,122.79243
39133601501,10420,"Akron, OH ",30.884109,30-39.9%,301
39153532302,10420,"Akron, OH ",4.7343392,Below 10%,66
39153507300,10420,"Akron, OH ",17.376543,10-19.9%,342.39999
39153503800,10420,"Akron, OH ",35.990829,30-39.9%,517.66345
39153520103,10420,"Akron, OH ",13.007421,10-19.9%,276.39999
39153531702,10420,"Akron, OH ",5.3214478,Below 10%,29.807755
39133600103,10420,"Akron, OH ",9.9078741,Below 10%,158.04678
39153508900,10420,"Akron, OH ",49.957985,40% or higher,598.461
39153503200,10420,"Akron, OH ",31.556196,30-39.9%,139.39999
39153502500,10420,"Akron, OH ",31.091619,30-39.9%,124.33009
39133600301,10420,"Akron, OH ",1.1957206,Below 10%,196.75999
39133601503,10420,"Akron, OH ",44.188877,40% or higher,473.06439
39153530800,10420,"Akron, OH ",3.1025245,Below 10%,162.96339
39153534100,10420,"Akron, OH ",2.1779947,Below 10%,0
39153533501,10420,"Akron, OH ",5.0463324,Below 10%,332.27719
39133601400,10420,"Akron, OH ",23.570307,20-29.9%,720
39133600800,10420,"Akron, OH ",18.586088,10-19.9%,486.5
39153520400,10420,"Akron, OH ",9.5881004,Below 10%,246.92404
39133600603,10420,"Akron, OH ",17.94343,10-19.9%,150.97856
39153505600,10420,"Akron, OH ",37.668594,30-39.9%,172.67775
39153530603,10420,"Akron, OH ",14.254507,10-19.9%,616.07721
39153531401,10420,"Akron, OH ",9.3306026,Below 10%,150.85934
39153502200,10420,"Akron, OH ",35.039486,30-39.9%,763.7132
39153504400,10420,"Akron, OH ",26.767092,20-29.9%,95.800003
39153531500,10420,"Akron, OH ",5.2059426,Below 10%,257.04425
39153532501,10420,"Akron, OH ",1.2586949,Below 10%,0
36091061903,10580,"Albany-Schenectady-Troy, NY ",8.5940495,Below 10%,281.87311
36093020101,10580,"Albany-Schenectady-Troy, NY ",3.4375,Below 10%,180.83856
36001000700,10580,"Albany-Schenectady-Troy, NY ",33.513668,30-39.9%,501.30219
